Country,Year,Value,Gender
Malaysia,1975,2.2,Female
Malaysia,1976,2.4,Female
Malaysia,1977,2.5,Female
Malaysia,1978,2.7,Female
Malaysia,1979,2.9,Female
Malaysia,1980,3.1,Female
Malaysia,1981,3.2,Female
Malaysia,1982,3.4,Female
Malaysia,1983,3.7,Female
Malaysia,1984,3.9,Female
Malaysia,1985,4.1,Female
Malaysia,1986,4.3,Female
Malaysia,1987,4.6,Female
Malaysia,1988,4.8,Female
Malaysia,1989,5.1,Female
Malaysia,1990,5.4,Female
Malaysia,1991,5.7,Female
Malaysia,1992,6,Female
Malaysia,1993,6.4,Female
Malaysia,1994,6.7,Female
Malaysia,1995,7.1,Female
Malaysia,1996,7.5,Female
Malaysia,1997,7.9,Female
Malaysia,1998,8.4,Female
Malaysia,1999,8.8,Female
Malaysia,2000,9.3,Female
Malaysia,2001,9.8,Female
Malaysia,2002,10.3,Female
Malaysia,2003,10.8,Female
Malaysia,2004,11.3,Female
Malaysia,2005,11.9,Female
Malaysia,2006,12.4,Female
Malaysia,2007,12.9,Female
Malaysia,2008,13.4,Female
Malaysia,2009,14,Female
Malaysia,2010,14.5,Female
Malaysia,2011,15.1,Female
Malaysia,2012,15.6,Female
Malaysia,2013,16.2,Female
Malaysia,2014,16.8,Female
Malaysia,2015,17.4,Female
Malaysia,2016,17.9,Female
Indonesia,1975,0.7,Female
Indonesia,1976,0.7,Female
Indonesia,1977,0.8,Female
Indonesia,1978,0.8,Female
Indonesia,1979,0.9,Female
Indonesia,1980,0.9,Female
Indonesia,1981,1,Female
Indonesia,1982,1.1,Female
Indonesia,1983,1.2,Female
Indonesia,1984,1.2,Female
Indonesia,1985,1.3,Female
Indonesia,1986,1.4,Female
Indonesia,1987,1.5,Female
Indonesia,1988,1.6,Female
Indonesia,1989,1.8,Female
Indonesia,1990,1.9,Female
Indonesia,1991,2,Female
Indonesia,1992,2.2,Female
Indonesia,1993,2.3,Female
Indonesia,1994,2.5,Female
Indonesia,1995,2.7,Female
Indonesia,1996,2.9,Female
Indonesia,1997,3.1,Female
Indonesia,1998,3.3,Female
Indonesia,1999,3.5,Female
Indonesia,2000,3.8,Female
Indonesia,2001,4,Female
Indonesia,2002,4.3,Female
Indonesia,2003,4.5,Female
Indonesia,2004,4.8,Female
Indonesia,2005,5.1,Female
Indonesia,2006,5.4,Female
Indonesia,2007,5.7,Female
Indonesia,2008,6,Female
Indonesia,2009,6.3,Female
Indonesia,2010,6.6,Female
Indonesia,2011,7,Female
Indonesia,2012,7.3,Female
Indonesia,2013,7.7,Female
Indonesia,2014,8.1,Female
Indonesia,2015,8.5,Female
Indonesia,2016,8.9,Female
Singapore,1975,4.5,Female
Singapore,1976,4.5,Female
Singapore,1977,4.5,Female
Singapore,1978,4.6,Female
Singapore,1979,4.6,Female
Singapore,1980,4.6,Female
Singapore,1981,4.6,Female
Singapore,1982,4.6,Female
Singapore,1983,4.7,Female
Singapore,1984,4.7,Female
Singapore,1985,4.7,Female
Singapore,1986,4.8,Female
Singapore,1987,4.8,Female
Singapore,1988,4.8,Female
Singapore,1989,4.9,Female
Singapore,1990,4.9,Female
Singapore,1991,4.9,Female
Singapore,1992,5,Female
Singapore,1993,5,Female
Singapore,1994,5.1,Female
Singapore,1995,5.1,Female
Singapore,1996,5.1,Female
Singapore,1997,5.2,Female
Singapore,1998,5.2,Female
Singapore,1999,5.3,Female
Singapore,2000,5.3,Female
